MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,LED,1000,22.55,0.903,111.11,0.78
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,LED,1500,22.66,0.915,165.1,0.78
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,LED,2000,22.22,0.931,213.4,0.78
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,200,22.95,0.786,24.72,0.76
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,500,22.26,0.812,57.8,0.79
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,600,22.78,0.817,68.76,0.8
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,1000,23.89,0.831,116.64,0.81
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,1500,23.31,0.844,170.16,0.81
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,LED,2000,23.25,0.848,223.9,0.81
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,200,24.6,0.837,25.48,0.75
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,500,24.47,0.869,60.34,0.79
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,600,24.67,0.874,72.78,0.79
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,1000,25.82,0.89,124.02,0.8
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,1500,25.16,0.901,177.35,0.81
0.85,0,0.15,1,0,0.85,0,0.15,1.66,0.53,0.33,LED,2000,25.35,0.912,231.35,0.81
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,100,18.6,0.67,13.76,0.66
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,600,24.1,0.73,81,0.75
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,1000,24.8,0.76,133.96,0.76
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.47,LED,100,2.1,0.24,13.5,0.3
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.47,LED,600,6.5,0.53,61.53,0.4
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.47,LED,1000,8.3,0.57,104.57,0.46
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,100,5.8,0.51,13.13,0.33
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,600,11.6,0.66,65.88,0.51
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,1000,13.7,0.7,108.77,0.77
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,200,7.8,0.58,23.67,0.37
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,400,10.4,0.64,44.57,0.45
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,800,12.9,0.68,87.3,0.55
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,200,2.9,0.35,22.56,0.31
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,400,5.1,0.49,42.21,0.35
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.5,LED,800,7.5,0.55,84.79,0.44
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,200,20.7,0.69,26.61,0.71
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,400,22,0.71,51.78,0.74
1,0,0,1,0,0,0.25,0.75,1.2,0.45,0.25,LED,800,24.4,0.74,107.73,0.76
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.35,LED,200,10.8,0.598,15.8,0.581
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.35,LED,400,12.1,0.631,33.7,0.616
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,200,23.42,0.84,0.0245,0.75
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,500,24.1,0.87,0.058,0.78
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,600,24.66,0.879,0.069,0.79
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,1000,25.94,0.899,0.118,0.8
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,1500,24.65,0.916,0.1645,0.8
0.85,0,0.15,1,0,0,0,1,1.8,0.55,0.45,FL,2000,25.28,0.936,0.2217,0.8
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,LED,200,12.43,0.79,0.023,0.59
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,LED,400,12.72,0.8,0.029,0.56
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,LED,800,14.86,0.85,0.075,0.64
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,HALOGEN,200,3.93,0.88,0.138,0.64
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,HALOGEN,400,5.85,0.91,0.258,0.66
1,0,0,1,0,0.66,0.33,0,1.7,0.39,0.8,HALOGEN,800,7.5,0.94,0.448,0.71
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,18.4,0.79,28.5,0.659
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,20.7,0.83,55.5,0.691
0,0,1,1,0,0.33,0,0.66,2,0.6,0.7,LED,200,25.21,0.97,22.87,0.7572
0,0,1,1,0,0.33,0,0.66,2,0.6,0.7,LED,500,26.89,1.02,57.31,0.7626
0,0,1,1,0,0.33,0,0.66,2,0.6,0.7,LED,1000,30.73,1.06,126.31,0.7667
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,200,26.5,0.81,30.6,0.68
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,400,27.4,0.85,57.4,0.71
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,600,27.7,0.86,84.5,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,800,28.2,0.87,111,0.73
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,1000,28.6,0.88,135,0.75
1,0,0,1,0,0,0,1,1.61,0.09,0.14,FL,1000,31.4,0.901,275.4,0.76
1,0,0,1,0,0.2,0.2,0.6,1.8,0.06,0.36,FL,1000,36.2,1.028,275.4,0.768
1,0,0,1,0,0,0,1,1.53,0.2,0.48,LED,200,24.5,0.867,32.84,0.7
1,0,0,1,0,0,0,1,1.53,0.2,0.48,LED,400,26.47,0.901,63.21,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,200,20.23,0.836,32.87,0.5959
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,400,21.33,0.871,62.99,0.583
0.16,0.79,0.05,1,0,0.16,0,0.84,1.9,0.3,0.6,LED,200,17.9,0.68,28.38,0.606
0.16,0.79,0.05,1,0,0.5,0,0.5,1.81,0.24,0.32,LED,200,17.8,0.803,26.8,0.527
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,500,17.5,0.8,74,0.46
1,0,0,1,0,0,0,1,1.53,0.2,0.13,LED,500,33.4,0.97,77.1,0.7
1,0,0,1,0,0,0,1,1.53,0.2,0.41,LED,500,32.3,0.93,77,0.71
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,1000,24.7,0.89,149.9,0.52
1,0,0,1,0,0,0,1,1.53,0.2,0.13,LED,1000,35.9,0.98,157.6,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.41,LED,1000,34.8,0.95,157.7,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,200,24,0.705,31,0.69
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,400,25,0.775,58,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,17.4,0.659,28,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,18.9,0.702,56,0.63
0.95,0,0.05,1,0,0,0,1,1.6,0.24,0.32,LED,1000,29.43,0.87,410,0.7102
0.95,0,0.05,1,0,0.1,0,0.9,1.63,0.23,0.31,LED,1000,28.96,0.87,390,0.7446
0.95,0,0.05,1,0,0.2,0,0.8,1.68,0.25,0.33,LED,1000,32.82,0.91,400,0.7865
0.95,0,0.05,1,0,0.3,0,0.7,1.7,0.3,0.37,LED,1000,30.53,0.92,390,0.7281
0.95,0,0.05,1,0,0.4,0,0.6,1.74,0.33,0.38,LED,1000,17.14,0.91,360,0.455
0.95,0,0.05,1,0,0.5,0,0.5,1.75,0.35,0.39,LED,1000,5.59,0.87,140,0.3689
0.95,0.05,0,1,0,0.05,0,0.95,1.63,0.65,0.28,LED,400,23.33,0.711,122,0.724
0.95,0.05,0,1,0,0.05,0,0.95,1.63,0.65,0.28,LED,600,25.37,0.865,162,0.735
0.95,0.05,0,1,0,0.05,0,0.95,1.63,0.65,0.28,LED,800,25.56,0.926,205,0.731
0.95,0.05,0,1,0,0.05,0,0.95,1.63,0.65,0.28,LED,1000,25.74,0.967,251,0.733
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.48,LED,200,6.7,0.598,15.8,0.58
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.48,LED,400,7.7,0.631,33,0.67
0.25,0.75,0,0,1,0.33,0,0.66,1.3,0.5,0.2,LED,1000,10.45,0.26,230,0.47
0.25,0.75,0,0,1,0.33,0,0.66,1.4,0.3,0.1,LED,1000,12.81,0.28,280,0.67
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,20.6,0.82,30.7,0.727
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,22.6,0.86,58.8,0.735
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,810,31.97,0.871,121,0.7685
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,860,30.36,0.867,120,0.7735
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,910,28.98,0.87,125,0.7803
0.95,0.05,0,1,0,0.05,0,0.95,1.64,0.64,0.28,LED,800,25.56,0.926,205,0.731
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,20.7,0.83,55,0.691
0,0,1,1,0,0.33,0,0.66,1.53,0.33,0.4,FL,1000,19.05,0.64,130,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.4,LED,400,21.33,0.871,62,0.583
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,1000,27,0.858,129,0.753
1,0,0,1,0,0,0,1,1.53,0.2,0.53,LED,1000,35.9,0.98,157,0.72
1,0,0,1,0,0,0,1,1.53,0.4,0.33,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.25,LED,1000,36.2,1.028,126,0.768
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,555,33.88,0.86,89.7,0.79
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,538,33.56,0.844,79.2,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,492,31.34,0.833,65.6,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,200,0.58,0.45,2.01,0.4544
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,400,0.46,0.502,3,0.4105
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,12.85,0.805,23.68,0.4959
1,0,0,1,0,0,0,1,1.53,0.2,1.43,LED,400,13.32,0.842,40.26,0.5257
0,0,1,1,0,1,0,0,1.2,0.3,0.1,LED,300,33.33,0.928,48.44,0.684
0,0,1,1,0,1,0,0,1.2,0.3,0.1,LED,500,34.59,0.936,81.17,0.699
0,0,1,1,0,1,0,0,1.7,0.3,0.1,LED,1000,35.35,0.973,152.02,0.7345
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,300,36.35,0.959,50.14,0.6974
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,500,37.51,0.974,82.85,0.7188
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,1000,38.52,1.028,152.79,0.7537
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,810,31.97,0.871,120,0.7685
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,860,30.36,0.867,121,0.7735
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,910,28.98,0.87,125,0.7803
0.95,0.05,0,1,0,0.05,0,0.95,1.53,0.19,0.19,LED,800,25.56,0.926,205,0.731
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,400,20.7,0.83,55,0.69
0,0,1,1,0,0.66,0,0.33,1.9,0.5,0.6,LED,1000,19.05,0.64,130,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.3,LED,400,21.33,0.871,62,0.583
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,1000,27,0.858,129,0.753
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,1000,35.9,0.98,157,0.72
1,0,0,1,0,0,0,1,1.53,0.4,0.6,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0.33,0.33,0.34,1.8,0.6,0.2,LED,1000,36.2,1.028,126,0.768
1,0,0,1,0,0,0,1,1.53,0.6,0.2,LED,1000,35.2,0.87,150,0.752
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,555,33.88,0.86,87.9,0.7694
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,538,33.56,0.84,79.2,0.617
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,492,31.34,0.833,65.7,0.755
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,100,20.9,0.75,13,0.65
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,100,18.6,0.67,13,0.66
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,100,5.8,0.51,13,0.33
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,100,2.1,0.24,13,0.3
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,600,25.1,0.83,79,0.74
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,600,23.1,0.73,81,0.75
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,600,11.6,0.66,65,0.51
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,600,6.5,0.53,61,0.4
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,1000,24.8,0.76,133,0.76
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,1000,13.7,0.7,108,0.7
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,1000,8.3,0.57,104,0.57
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,100,19.5,0.58,14,0.66
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,500,25.7,0.69,70,0.74
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,1000,35.2,0.87,150,0.75
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,29.43,0.87,400,0.7202
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,28.96,0.87,390,0.7446
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,32.32,0.91,400,0.7865
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,30.53,0.92,390,0.7281
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,17.14,0.91,360,0.455
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,5.59,0.87,140,0.3689
0.95,0,0.05,1,0,0,0,1,2,0.5,0.6,LED,1000,28.43,0.87,410,0.7102
0.95,0,0.05,1,0,0.1,0,0.9,1.8,0.2,0.6,LED,1000,28.96,0.87,390,0.7446
0.95,0,0.05,1,0,0.2,0,0.8,1.8,0.2,0.6,LED,1000,32.82,0.91,400,0.7865
0.95,0,0.05,1,0,0.3,0,0.7,1.8,0.2,0.6,LED,1000,30.53,0.92,390,0.7281
0.95,0,0.05,1,0,0.4,0,0.6,1.8,0.2,0.6,LED,1000,17.14,0.91,360,0.455
0.95,0,0.05,1,0,0.5,0,0.5,1.8,0.2,0.6,LED,1000,5.59,0.87,140,0.3889
1,0,0,1,0,0,0,1,1.53,0.11,0.7,LED,1000,22.7,0.809,171,0.65
1,0,0,1,0,0,0,1,1.53,-0.01,0.7,LED,1000,30.1,0.796,186,0.74
1,0,0,1,0,0,0,1,1.53,0.11,0.7,LED,200,10.31,0.654,58,0.41
1,0,0,1,0,0,0,1,1.53,-0.01,0.7,LED,200,6.03,0.502,38,0.29
1,0,0,1,0,0,0,1,1.53,0.26,0.37,LED,220,14.1,0.865,479,0.748
1,0,0,1,0,0.04,0,0.96,1.8,0.3,0.6,LED,220,19.9,0.974,603,0.745
1,0,0,1,0,0,0.04,0.96,1.7,0.2,0.5,LED,220,20.8,0.956,622,0.771
1,0,0,1,0,0,0,1,1.53,0.26,0.37,FL,320,12.8,0.756,76,0.71
1,0,0,1,0,0.04,0,0.96,1.8,0.3,0.6,FL,321,20.3,0.895,98,0.744
1,0,0,1,0,0,0.04,0.96,1.7,0.2,0.5,FL,322,23,0.901,105,0.779
1,0,0,1,0,0,0,1,1.53,0.36,0.57,LED,1000,17.8,0.779,147,0.46
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,200,25.21,0.97,22,0.7572
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,500,26.69,1.02,57,0.7626
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,1000,30.73,1.06,126,0.7667
